State,County Name,current_votes,total_votes,percent
DE,Kent County,84975,87025,100
DE,New Castle County,279462,287633,100
DE,Sussex County,126498,129352,100
GA,Appling County,8187,8341,100
GA,Atkinson County,3097,3155,100
GA,Bacon County,4590,4668,100
GA,Baker County,1534,1555,100
GA,Baldwin County,18082,18251,100
GA,Banks County,8725,8801,100
GA,Barrow County,37627,38017,100
GA,Bartow County,50034,50467,100
GA,Ben Hill County,6477,6560,100
GA,Berrien County,7650,7743,100
GA,Bibb County,69987,70802,100
GA,Bleckley County,5644,5706,100
GA,Brantley County,7616,7746,100
GA,Brooks County,6976,7100,100
GA,Bryan County,21163,21340,100
GA,Bulloch County,29793,30084,100
GA,Burke County,10560,10684,100
GA,Butts County,11690,11789,100
GA,Calhoun County,2172,2194,100
GA,Camden County,23349,23688,100
GA,Candler County,4370,4432,100
GA,Carroll County,53973,54474,100
GA,Catoosa County,32212,32692,100
GA,Charlton County,4477,4566,100
GA,Chatham County,131847,133420,100
GA,Chattahoochee County,1548,1590,100
GA,Chattooga County,9938,10050,100
GA,Cherokee County,143526,144830,100
GA,Clarke County,50950,51218,100
GA,Clay County,1416,1434,100
GA,Clayton County,111045,112344,100
GA,Clinch County,2797,2864,100
GA,Cobb County,390772,393744,100
GA,Coffee County,14991,15214,100
GA,Colquitt County,15891,16083,100
GA,Columbia County,79907,80579,100
GA,Cook County,6972,7035,100
GA,Coweta County,76122,76799,100
GA,Crawford County,6026,6102,100
GA,Crisp County,7980,8052,100
GA,Dade County,7332,7434,100
GA,Dawson County,15924,16081,100
GA,Decatur County,11449,11627,100
GA,DeKalb County,367643,370675,100
GA,Dodge County,7952,8070,100
GA,Dooly County,4059,4105,100
GA,Dougherty County,34911,35311,100
GA,Douglas County,68441,69097,100
GA,Early County,5105,5187,100
GA,Echols County,1418,1441,100
GA,Effingham County,31319,31624,100
GA,Elbert County,9075,9171,100
GA,Emanuel County,9368,9501,100
GA,Evans County,4191,4247,100
GA,Fannin County,14686,14850,100
GA,Fayette County,71470,71993,100
GA,Floyd County,41288,38588,100
GA,Forsyth County,128267,129305,100
GA,Franklin County,10659,10786,100
GA,Fulton County,520778,524659,100
GA,Gilmer County,16307,16525,100
GA,Glascock County,1540,1566,100
GA,Glynn County,41468,41984,100
GA,Gordon County,23766,24033,100
GA,Grady County,10580,10707,100
GA,Greene County,11162,11247,100
GA,Gwinnett County,411206,413865,100
GA,Habersham County,20259,20432,100
GA,Hall County,89787,90523,100
GA,Hancock County,4097,4165,100
GA,Haralson County,14135,14272,100
GA,Harris County,19854,19991,100
GA,Hart County,12532,12727,100
GA,Heard County,5333,5397,100
GA,Henry County,121709,122742,100
GA,Houston County,74162,74823,100
GA,Irwin County,4144,4168,100
GA,Jackson County,37383,37670,100
GA,Jasper County,7592,7644,100
GA,Jeff Davis County,5698,5771,100
GA,Jefferson County,7554,7642,100
GA,Jenkins County,3400,3455,100
GA,Johnson County,4034,4100,100
GA,Jones County,14842,14966,100
GA,Lamar County,8988,9039,100
GA,Lanier County,3519,3576,100
GA,Laurens County,22474,22729,100
GA,Lee County,16559,16714,100
GA,Liberty County,21091,21389,100
GA,Lincoln County,4593,4650,100
GA,Long County,5581,5656,100
GA,Lowndes County,45772,46355,100
GA,Lumpkin County,15363,15531,100
GA,McDuffie County,10370,10455,100
GA,McIntosh County,6602,6696,100
GA,Macon County,4593,4662,100
GA,Madison County,14798,14937,100
GA,Marion County,3599,3624,100
GA,Meriwether County,10778,10877,100
GA,Miller County,2781,2835,100
GA,Mitchell County,8871,8963,100
GA,Monroe County,15428,15592,100
GA,Montgomery County,3920,3966,100
GA,Morgan County,11627,11707,100
GA,Murray County,15151,15389,100
GA,Muscogee County,79550,80543,100
GA,Newton County,53778,54239,100
GA,Oconee County,25142,25168,100
GA,Oglethorpe County,8057,8131,100
GA,Paulding County,84548,85385,100
GA,Peach County,12432,12545,100
GA,Pickens County,16969,17116,100
GA,Pierce County,8941,9048,100
GA,Pike County,10649,10720,100
GA,Polk County,17235,17399,100
GA,Pulaski County,4005,4059,100
GA,Putnam County,11767,11855,100
GA,Quitman County,1086,1106,100
GA,Rabun County,9472,9568,100
GA,Randolph County,3041,3074,100
GA,Richmond County,85968,87016,100
GA,Rockdale County,44263,44686,100
GA,Schley County,2256,2275,100
GA,Screven County,6547,6628,100
GA,Seminole County,3838,3884,100
GA,Spalding County,29764,30116,100
GA,Stephens County,11768,11885,100
GA,Stewart County,1953,1990,100
GA,Sumter County,12022,12150,100
GA,Talbot County,3450,3522,100
GA,Taliaferro County,902,928,100
GA,Tattnall County,8091,8183,100
GA,Taylor County,3792,3839,100
GA,Telfair County,4255,4333,100
GA,Terrell County,4375,4416,100
GA,Thomas County,21600,21853,100
GA,Tift County,16092,16283,100
GA,Toombs County,10798,10914,100
GA,Towns County,7888,7979,100
GA,Treutlen County,3023,3077,100
GA,Troup County,29809,30059,100
GA,Turner County,3741,3792,100
GA,Twiggs County,4381,4444,100
GA,Union County,15378,15592,100
GA,Upson County,12784,12905,100
GA,Walker County,28999,29436,100
GA,Walton County,50738,50812,100
GA,Ware County,13979,14296,100
GA,Warren County,2614,2681,100
GA,Washington County,9279,9459,100
GA,Wayne County,12633,12778,100
GA,Webster County,1372,1390,100
GA,Wheeler County,2258,2285,100
GA,White County,14716,14816,100
GA,Whitfield County,36297,36746,100
GA,Wilcox County,3230,3281,100
GA,Wilkes County,4951,5029,100
GA,Wilkinson County,4704,4770,100
GA,Worth County,9210,9286,100
ID,Ada County,258014,259389,100
ID,Adams County,1561,2586,100
ID,Bannock County,39413,39553,100
ID,Bear Lake County,3301,3315,100
ID,Benewah County,4873,4973,100
ID,Bingham County,19835,20094,100
ID,Blaine County,13306,13306,100
ID,Boise County,4791,4820,100
ID,Bonner County,27021,27352,100
ID,Bonneville County,53028,53995,100
ID,Boundary County,6258,6313,100
ID,Butte County,1410,1415,100
ID,Camas County,675,754,100
ID,Canyon County,89597,90438,100
ID,Caribou County,3196,3416,100
ID,Cassia County,9586,9629,100
ID,Clark County,311,311,100
ID,Clearwater County,4379,4419,100
ID,Custer County,2708,2739,100
ID,Elmore County,10119,10205,100
ID,Franklin County,6614,6664,100
ID,Fremont County,6706,6719,100
ID,Gem County,9912,9958,100
ID,Gooding County,6039,6050,100
ID,ID County,9481,9602,100
ID,Jefferson County,14066,14173,100
ID,Jerome County,7788,7812,100
ID,Kootenai County,87955,89878,100
ID,Latah County,20593,20593,100
ID,Lemhi County,4702,4738,100
ID,Lewis County,1848,1870,100
ID,Lincoln County,1931,1940,100
ID,Madison County,16941,17112,100
ID,Minidoka County,7923,7993,100
ID,Nez Perce County,20836,20967,100
ID,Oneida County,2414,2451,100
ID,Owyhee County,4741,4742,100
ID,Payette County,11233,11293,100
ID,Power County,3055,3086,100
ID,Shoshone County,5929,6049,100
ID,Teton County,6310,6347,100
ID,Twin Falls County,36040,36680,100
ID,Valley County,7036,7063,100
ID,Washington County,5351,5351,100
ID,Adams County,33277,32202,95
ID,Alexander County,2550,3010,85
ID,Bond County,8054,1160,99
ID,Boone County,24662,22910,95
ID,Brown County,2488,2604,95
ID,Bureau County,17241,18093,95
ID,Calhoun County,2692,2827,95
ID,Carroll County,7914,1062,99
ID,Cass County,5232,5603,93
ID,Champaign County,94825,101437,93
ID,Christian County,15972,16962,94
ID,Clark County,8248,8656,95
ID,Clay County,6709,6971,95
ID,Clinton County,19001,17465,95
ID,Coles County,22329,21851,95
ID,Cook County,2289749,2417649,95
ID,Crawford County,9321,9574,95
ID,Cumberland County,5779,6100,95
ID,DeKalb County,47505,43345,95
ID,De Witt County,7900,7552,95
ID,Douglas County,8646,8970,95
ID,DuPage County,483769,474506,95
ID,Edgar County,8057,8656,93
ID,Edwards County,3274,3670,89
ID,Effingham County,18825,17654,95
ID,Fayette County,9935,10033,99
ID,Ford County,6879,6997,95
ID,Franklin County,18353,20497,90
ID,Fulton County,16482,17278,95
ID,Gallatin County,2539,2980,85
ID,Greene County,6053,6137,95
ID,Grundy County,26312,26400,99
ID,Hamilton County,4158,4588,91
ID,Hancock County,9236,9121,95
ID,Hardin County,2073,2514,82
ID,Henderson County,3567,3885,92
ID,Henry County,25291,24559,95
ID,Iroquois County,13862,14348,95
ID,Jackson County,22448,27180,83
ID,Jasper County,5449,5643,95
ID,Jefferson County,16990,18631,91
ID,Jersey County,11649,12076,95
ID,Jo Daviess County,12271,11314,95
ID,Johnson County,6335,6442,98
ID,Kane County,230012,220744,99
ID,Kankakee County,49454,47156,95
ID,Kendall County,63378,59861,95
ID,Knox County,22846,25236,91
ID,Lake County,332288,334925,95
ID,LaSalle County,52875,54372,95
ID,Lawrence County,6257,6688,94
ID,Lee County,16205,16895,95
ID,Livingston County,16933,5933,99
ID,Logan County,13145,13117,99
ID,McDonough County,12148,13084,93
ID,McHenry County,162846,159365,95
ID,McLean County,86511,89415,95
ID,Macon County,48949,45131,99
ID,Macoupin County,23681,24534,95
ID,Madison County,135577,129785,95
ID,Marion County,17261,18728,92
ID,Marshall County,6192,6557,94
ID,Mason County,6665,2476,99
ID,Massac County,6713,6803,99
ID,Menard County,6848,6516,95
ID,Mercer County,8751,9326,94
ID,Monroe County,21019,19258,95
ID,Montgomery County,13439,14217,95
ID,Morgan County,15155,16167,94
ID,Moultrie County,6676,6879,95
ID,Ogle County,26066,26350,95
ID,Peoria County,83633,82264,99
ID,Perry County,9904,10817,92
ID,Piatt County,9762,9044,95
ID,Pike County,7820,7690,99
ID,Pope County,2129,2386,89
ID,Pulaski County,2576,3260,79
ID,Putnam County,3297,3345,99
ID,Randolph County,14678,15565,94
ID,Richland County,7913,7710,95
ID,Rock Island County,66168,64602,95
ID,St. Clair County,126941,121541,95
ID,Saline County,10795,12471,87
ID,Sangamon County,104321,108902,95
ID,Schuyler County,3846,3908,98
ID,Scott County,2683,2867,94
ID,Shelby County,11945,11901,99
ID,Stark County,2829,2999,94
ID,Stephenson County,21798,21446,99
ID,Tazewell County,68437,64441,95
ID,Union County,8801,8896,99
ID,Vermilion County,31325,33748,93
ID,Wabash County,5489,5992,92
ID,Warren County,7801,7792,95
ID,Washington County,7773,8163,95
ID,Wayne County,8309,9125,91
ID,White County,7274,8055,90
ID,Whiteside County,26992,27910,95
ID,Will County,342015,328279,99
ID,Williamson County,33128,31875,95
ID,Winnebago County,126388,119319,95
ID,Woodford County,21141,19789,95
ID,Cook Suburbs,1158720,1221698,95
IA,Adair County,4141,4184,100
IA,Adams County,2156,2160,100
IA,Allamakee County,7335,7462,100
IA,Appanoose County,6384,6516,100
IA,Audubon County,3371,3420,100
IA,Benton County,14483,14642,100
IA,Black Hawk County,65976,66593,100
IA,Boone County,15183,15340,100
IA,Bremer County,14445,14546,100
IA,Buchanan County,10699,10774,100
IA,Buena Vista County,7987,8167,100
IA,Butler County,8007,8098,100
IA,Calhoun County,5205,5258,100
IA,Carroll County,11151,11335,100
IA,Cass County,7158,7276,100
IA,Cedar County,10535,10703,100
IA,Cerro Gordo County,23514,24839,95
IA,Cherokee County,6421,6518,100
IA,Chickasaw County,6578,6631,100
IA,Clarke County,4605,4670,100
IA,Clay County,8859,8969,100
IA,Clayton County,9518,9594,100
IA,Clinton County,24336,24687,100
IA,Crawford County,7000,7154,100
IA,Dallas County,55541,56022,100
IA,Davis County,4039,4102,100
IA,Decatur County,3737,3804,100
IA,DE County,9932,10003,100
IA,Des Moines County,19587,19956,100
IA,Dickinson County,11180,11244,100
IA,Dubuque County,53043,53926,100
IA,Emmet County,4796,4853,100
IA,Fayette County,10095,10186,100
IA,Floyd County,7964,8032,100
IA,Franklin County,5059,5130,100
IA,Fremont County,3807,3857,100
IA,Greene County,4990,5057,100
IA,Grundy County,7212,7276,100
IA,Guthrie County,6321,6371,100
IA,Hamilton County,7866,7943,100
IA,Hancock County,6075,6172,100
IA,Hardin County,8838,8989,100
IA,Harrison County,8004,8155,100
IA,Henry County,9758,9982,100
IA,Howard County,4906,4951,99
IA,Humboldt County,5262,5327,100
IA,Ida County,3815,3849,100
IA,IA County,9624,9742,100
IA,Jackson County,10908,11135,100
IA,Jasper County,20008,20184,100
IA,Jefferson County,8798,8959,100
IA,Johnson County,82591,83851,100
IA,Jones County,10898,10989,100
IA,Keokuk County,5208,5303,100
IA,Kossuth County,9006,9090,100
IA,Lee County,16541,16734,100
IA,Linn County,126376,127458,100
IA,Louisa County,5255,5332,100
IA,Lucas County,4542,4630,100
IA,Lyon County,6749,6863,100
IA,Madison County,9717,9824,100
IA,Mahaska County,11220,11404,100
IA,Marion County,19047,19232,100
IA,Marshall County,17851,18136,100
IA,Mills County,8150,8268,100
IA,Mitchell County,5802,5822,100
IA,Monona County,4656,4728,100
IA,Monroe County,4008,4088,100
IA,Montgomery County,5297,5327,100
IA,Muscatine County,20428,20671,100
IA,O'Brien County,7458,7551,100
IA,Osceola County,3262,3328,100
IA,Page County,7435,7528,100
IA,Palo Alto County,4932,4958,100
IA,Plymouth County,14028,14188,100
IA,Pocahontas County,3774,3823,100
IA,Polk County,256069,258755,100
IA,Pottawattamie County,45033,45744,100
IA,Poweshiek County,10035,10140,100
IA,Ringgold County,2693,2714,100
IA,Sac County,5478,5535,100
IA,Scott County,91540,92599,100
IA,Shelby County,6691,6795,100
IA,Sioux County,18886,19051,100
IA,Story County,50469,51038,100
IA,Tama County,8962,9048,100
IA,Taylor County,3210,3249,100
IA,Union County,6119,6185,100
IA,Van Buren County,3751,3792,100
IA,Wapello County,15334,15633,100
IA,Warren County,30680,31039,100
IA,Washington County,11649,11765,100
IA,Wayne County,3051,3109,100
IA,Webster County,17616,17822,100
IA,Winnebago County,5922,5970,100
IA,Winneshiek County,11956,12064,100
IA,Woodbury County,44472,45362,100
IA,Worth County,4372,4418,100
IA,Wright County,6186,6254,100
KS,Allen County,5796,7429,78
KS,Anderson County,3678,3664,99
KS,Atchison County,7293,362,99
KS,Barber County,2294,2507,92
KS,Barton County,10914,10891,99
KS,Bourbon County,6485,6776,95
KS,Brown County,4361,4377,95
KS,Butler County,31889,31708,99
KS,Chase County,1475,1484,95
KS,Chautauqua County,1617,1768,91
KS,Cherokee County,8875,8925,99
KS,Cheyenne County,1445,1621,89
KS,Clark County,1039,1156,90
KS,Clay County,4098,4342,94
KS,Cloud County,4137,4609,90
KS,Coffey County,4412,4442,99
KS,Comanche County,904,1006,90
KS,Cowley County,13947,13779,95
KS,Crawford County,16564,15950,99
KS,Decatur County,1447,1742,83
KS,Dickinson County,9177,9158,99
KS,Doniphan County,3610,3690,95
KS,Douglas County,57492,56097,95
KS,Edwards County,1407,1502,94
KS,Elk County,1332,1484,90
KS,Ellis County,13473,13323,99
KS,Ellsworth County,2803,2939,95
KS,Finney County,11370,11017,95
KS,Ford County,8775,9068,95
KS,Franklin County,12164,11912,95
KS,Geary County,9234,8912,95
KS,Gove County,1423,1572,91
KS,Graham County,1294,1523,85
KS,Grant County,2426,2591,94
KS,Gray County,2231,2241,95
KS,Greeley County,614,761,81
KS,Greenwood County,3018,3080,95
KS,Hamilton County,830,951,87
KS,Harper County,2593,2796,93
KS,Harvey County,17007,16719,99
KS,Haskell County,1379,1514,91
KS,Hodgeman County,1028,1205,85
KS,Jackson County,6454,6422,99
KS,Jefferson County,9550,9545,99
KS,Jewell County,1595,1624,95
KS,Johnson County,347336,340000,95
KS,Kearny County,1393,1503,93
KS,Kingman County,3904,3922,99
KS,KIA County,1138,1298,88
KS,Labette County,8369,8792,95
KS,Lane County,882,1006,88
KS,Leavenworth County,35991,36000,95
KS,Lincoln County,1559,1686,92
KS,Linn County,4870,4398,99
KS,Logan County,1430,1472,95
KS,Lyon County,13572,13971,95
KS,McPherson County,13819,14486,95
KS,Marion County,5973,5890,99
KS,Marshall County,4950,5020,99
KS,Meade County,1790,1865,95
KS,Miami County,17576,17079,95
KS,Mitchell County,3030,3371,90
KS,Montgomery County,13085,13460,95
KS,Morris County,2841,2846,95
KS,Morton County,1148,1386,83
KS,Nemaha County,5612,5578,99
KS,Neosho County,6574,7026,94
KS,Ness County,1476,1484,99
KS,Norton County,2367,2386,99
KS,Osage County,7824,7883,99
KS,Osborne County,1893,2090,91
KS,Ottawa County,3158,3335,95
KS,Pawnee County,2703,2886,94
KS,Phillips County,3265,3278,99
KS,Pottawatomie County,12804,18500,69
KS,Pratt County,4093,4026,99
KS,Rawlins County,1487,1674,89
KS,Reno County,27116,27148,99
KS,Republic County,2622,3053,86
KS,Rice County,4216,4169,99
KS,Riley County,23927,24116,95
KS,Rooks County,2710,3054,89
KS,Rush County,1661,1785,93
KS,Russell County,3390,3409,99
KS,Saline County,23857,23742,99
KS,Scott County,2316,2302,99
KS,Sedgwick County,212313,211443,95
KS,Seward County,5002,5613,89
KS,Shawnee County,85556,85621,95
KS,Sheridan County,1389,1490,93
KS,Sherman County,2646,2840,93
KS,Smith County,2086,2215,94
KS,Stafford County,2010,2156,93
KS,Stanton County,755,823,92
KS,Stevens County,1974,2206,89
KS,Sumner County,10766,10730,99
KS,Thomas County,3771,3768,99
KS,Trego County,1591,1794,89
KS,Wabaunsee County,3844,3851,99
KS,Wallace County,810,907,89
KS,Washington County,2838,2827,99
KS,Wichita County,955,1070,89
KS,Wilson County,3900,4031,95
KS,Woodson County,1489,1492,99
KS,Wyandotte County,54595,56778,95
KY,Adair County,8724,8768,100
KY,Allen County,9301,9364,100
KY,Anderson County,13235,13254,100
KY,Ballard County,4227,4227,100
KY,Barren County,20022,20064,100
KY,Bath County,5610,5627,100
KY,Bell County,9947,10044,100
KY,Boone County,66957,66998,100
KY,Bourbon County,9648,9648,100
KY,Boyd County,21755,21755,100
KY,Boyle County,14466,14478,100
KY,Bracken County,4232,4246,100
KY,Breathitt County,5613,5661,100
KY,Breckinridge County,10199,10201,100
KY,Bullitt County,41882,41998,100
KY,Butler County,6123,6125,100
KY,Caldwell County,6425,6434,100
KY,Calloway County,17479,17475,100
KY,Campbell County,48882,48880,100
KY,Carlisle County,2642,2642,100
KY,Carroll County,4115,4136,100
KY,Carter County,11548,11586,100
KY,Casey County,7152,7295,100
KY,Christian County,23790,23863,100
KY,Clark County,18128,18139,100
KY,Clay County,7568,7591,100
KY,Clinton County,4902,4932,100
KY,Crittenden County,4236,4242,100
KY,Cumberland County,3277,3309,100
KY,Daviess County,49289,49287,100
KY,Edmonson County,6123,6132,100
KY,Elliott County,2966,2995,100
KY,Estill County,6537,6540,100
KY,Fayette County,153214,153150,100
KY,Fleming County,7039,7002,99
